;AP2;COUNTRY;COMMENT_TEXT;SENTIMENT
0;SEM;MX;En la descripción y la imagen vienen las características del modelo PRO y te envían el modelo normal, el terminal es bueno respecto al precio, solo que no es lo que publica.;NEUTRO
1;SEM;MX;No deberían de engañar con la descripción del producto, eso hace perder tiempo den la devolucion y reembolso;NEUTRO
2;SEM;MX;Llegó en tiempo y forma, solo que venía con cargador europeo tuve que comprar un adaptador, por lo demás excelente equipo y precio;NEUTRO
3;SEM;MX;El teléfono llegó en tiempo y forma. Excelente vendedor. Recomiendo ampliamente!!!!!!!;NEUTRO
4;SEM;MX;Motorola siempre responde. Son equipos que se usan para trabajo, muy aguantadores. Buen almacenamiento y ram para su uso. Incluye un protector. La cámara con relación a su costo y especificaciones. Recomendable 100%. Llegó en tiempo y perfectas condiciones. Ya van 4 equipos que compro con este proveedor;NEUTRO
5;SEM;MX;Lo uso como telefono secundario solamente, no todo el tiempo, solo cuando llego a ofrecer cosas en venta...;NEUTRO
6;SEM;MX;buen producto, llego a tiempo;NEUTRO
7;SEM;MX;Llegó el producto antes te tiempo estimado. Estoy satisfecho con mi compró;NEUTRO
8;SEM;MX;Llegó a tiempo y sin ningún detalle;NEUTRO
9;SEM;MX;Yo lo compré y no puedo instalar el Facebook no se pero me da la impresión que es pirata.;NEUTRO
10;SEM;MX;Buen equipo llego a tiempo;NEUTRO
11;SEM;MX;Tenía dañada la pantalla. Cuando salía de una app, aun en otra podía seguir viendo la imagen de la app anterior. Tenia pantalla fantasma, porque con tardar unos minutos en una aplicación, se quedaba de fondo hasta un buen tiempo.;NEUTRO
12;SEM;MX;El teléfono tiene una falla y se oscurece la pantalla es decir le salen manchas Hay un foto de Motorola con este problema Que pokamadre que esto suceda El vendedor esta peor... le compre un Edge + de 256GB y 16 RAM y ahora la misma publicacion es un EDGE de 128GB, uso la misma reputacion.. que chacal;NEUTRO
13;SEM;MX;Llego en tiempo y forma... funcional al 100 lo malo es que llego pila en 90% de vida pero... funciona al 100 excelente compra lo súper recomiendo... lo malo es que no viene con audífonos ni adaptador para aundifonos... Pero sigo encantada por lo compra!;NEUTRO
14;SEM;MX;Llegó a tiempo. El equipo bueno en general. Un raspón, pero nada de cuidado. El precio no fue nada barato ($6109), cuando uno nuevo vale casi $8000. Tristemente me enteré después.;NEUTRO
15;SEM;MX;Proveedor Laptop Mexico. El equipo llegó sin problemas en la fecha indicada. Llego en caja original con accesorios que parecen originales, más no lo puedo comprobar. No incluye auriculares. El teléfono en buen estado, solo con detalles menores en los costados, pantalla impecable y de momento todo funciona correctamente. Batería al 85% de su capacidad. Súper recomendable por el precio. Lo seguiré usando y si algo cambia actualizare este comentario, de momento todo ok con la compa.;NEUTRO
16;SEM;MX;Excelente calidad-precio. Muy amables y responsables. Su tiempo de respuesta era casi inmediata, resolvieron todas mis dudas. Súper recomendado :D;NEUTRO
17;SEM;MX;Producto altamente eficaz, llegó en tiempo y forma, inclusive antes de lo indicado, la relación calidad-precio es muy alta y el teléfono es totalmente lo esperado;NEUTRO
