analysis_group,run_id,input_generation,dataset,task,model,metric,dimension,segment,expected_label,predicted_label,seed,review_id,text,expected_sentiment,predicted_sentiment,sentiment_confidence,sentiment_correct,expected_topic,predicted_topic,topic_confidence,topic_correct,linguistic_level,flagprofanity,hasemoji,hasspellingerror,hasslang,length_class,mixed_sentiment,goldtest,template_family,value,support,low,high
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,,,,,,,,,,,,,,,,,,,,,,,,,0.78,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,brier_score,,,,,,,,,,,,,,,,,,,,,,,,,0.3737825873540245,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,expected_calibration_error,,,,,,,,,,,,,,,,,,,,,,,,,0.16461327100636497,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,log_loss,,,,,,,,,,,,,,,,,,,,,,,,,1.072387639023811,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,macro_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.7758866178745976,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,precision_macro,,,,,,,,,,,,,,,,,,,,,,,,,0.833103797988206,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,recall_macro,,,,,,,,,,,,,,,,,,,,,,,,,0.7799999999999999,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,weighted_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.7758866178745977,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,accuracy,,,,,,,,,,,,,,,,,,,,,,,,,0.8276190476190476,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,brier_score,,,,,,,,,,,,,,,,,,,,,,,,,0.25081609647052244,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,expected_calibration_error,,,,,,,,,,,,,,,,,,,,,,,,,0.07088056483740865,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,log_loss,,,,,,,,,,,,,,,,,,,,,,,,,0.45492267128142716,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,macro_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.8284569167658057,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,precision_macro,,,,,,,,,,,,,,,,,,,,,,,,,0.832830519350345,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,recall_macro,,,,,,,,,,,,,,,,,,,,,,,,,0.8276190476190477,2100,,
aggregate_metric,20260818T204035Z_github-32183473018,0,incoming,sentiment,tfidf_logistic_regression,weighted_f1,,,,,,,,,,,,,,,,,,,,,,,,,0.8284569167658057,2100,,
model_delta,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm_minus_baseline,accuracy,,,,,,,,,,,,,,,,,,,,,,,,,-0.04761904761904756,2100,,
model_delta,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm_minus_baseline,brier_score,,,,,,,,,,,,,,,,,,,,,,,,,0.12296649088350203,2100,,
model_delta,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm_minus_baseline,log_loss,,,,,,,,,,,,,,,,,,,,,,,,,0.6174649677423838,2100,,
model_delta,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm_minus_baseline,macro_f1,,,,,,,,,,,,,,,,,,,,,,,,,-0.05257029889120812,2100,,
model_delta,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm_minus_baseline,weighted_f1,,,,,,,,,,,,,,,,,,,,,,,,,-0.05257029889120801,2100,,
uncertainty,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,,,,,,,,,,,,,,,,,,,,,,,,,0.78,2100,0.7617802600468525,0.7971972213928399
replicate_summary,20260818T204035Z_github-32183473018,0,incoming,sentiment,lstm,accuracy,,,,,,,,,,,,,,,,,,,,,,,,,0.7903174603174602,3,0.7629734312530794,0.817661489381841
