text,label
the temperature control on the freezer appliance stopped working during normal use,refrigerator
the television reports a problem related to its sound output,television
this mobile device needs attention because of the app storage,smartphone
the wifi connection of this display is unreliable,television
the freezer compartment of this cooling unit is unreliable,refrigerator
the app storage on the handset stopped working during normal use,smartphone
the ice maker of this fridge is unreliable,refrigerator
the smart tv reports a problem related to its wifi connection,television
the laundry appliance reports a problem related to its detergent drawer,washing_machine
the mobile device has an issue with the touchscreen,smartphone
the smartphone has an issue with the camera,smartphone
the cooling unit reports a problem related to its ice maker,refrigerator
the fridge reports a problem related to its door seal,refrigerator
the laundry machine has an issue with the rinse program,washing_machine
the television has an issue with the screen,television
the washing machine has an issue with the spin cycle,washing_machine
this cooling unit needs attention because of the storage drawer,refrigerator
the display has an issue with the picture panel,television
the battery on the phone stopped working during normal use,smartphone
the laundry appliance has an issue with the control panel,washing_machine
the smart tv has an issue with the sound output,television
the hdmi input of this tv is unreliable,television
the display has an issue with the channel tuner,television
the fridge has an issue with the freezer compartment,refrigerator
the charging port of this phone is unreliable,smartphone
this handset needs attention because of the fingerprint reader,smartphone
the display reports a problem related to its screen,television
this washing machine needs attention because of the drum,washing_machine
the touchscreen of this mobile device is unreliable,smartphone
the spin cycle on the laundry machine stopped working during normal use,washing_machine
the smartphone reports a problem related to its fingerprint reader,smartphone
the control panel of this washer is unreliable,washing_machine
the cooling fan on the refrigerator stopped working during normal use,refrigerator
the detergent drawer of this laundry appliance is unreliable,washing_machine
the smart tv has an issue with the picture panel,television
the cooling unit reports a problem related to its water dispenser,refrigerator
the washer has an issue with the drum,washing_machine
the screen of this display is unreliable,television
the ice maker on the freezer appliance stopped working during normal use,refrigerator
the battery on the handset stopped working during normal use,smartphone
the television has an issue with the hdmi input,television
the mobile device reports a problem related to its mobile signal,smartphone
this tv needs attention because of the screen,television
the laundry machine reports a problem related to its rinse program,washing_machine
the door lock on the laundry machine stopped working during normal use,washing_machine
this mobile device needs attention because of the charging port,smartphone
this television needs attention because of the sound output,television
the hdmi input on the display stopped working during normal use,television
the smartphone has an issue with the charging port,smartphone
the smartphone has an issue with the touchscreen,smartphone
the ice maker on the refrigerator stopped working during normal use,refrigerator
the spin cycle of this washer is unreliable,washing_machine
the touchscreen on the handset stopped working during normal use,smartphone
the cooling fan of this cooling unit is unreliable,refrigerator
the mobile device reports a problem related to its charging port,smartphone
the door seal of this fridge is unreliable,refrigerator
the laundry machine has an issue with the water inlet,washing_machine
the handset has an issue with the speaker,smartphone
the control panel on the washer stopped working during normal use,washing_machine
the television has an issue with the remote control,television
the interior light of this fridge is unreliable,refrigerator
the channel tuner of this tv is unreliable,television
the battery of this smartphone is unreliable,smartphone
the laundry appliance has an issue with the rinse program,washing_machine
this washer needs attention because of the drain pump,washing_machine
this handset needs attention because of the camera,smartphone
the wifi connection on the tv stopped working during normal use,television
the display has an issue with the sound output,television
the drum of this laundry machine is unreliable,washing_machine
the detergent drawer of this washer is unreliable,washing_machine
this phone needs attention because of the app storage,smartphone
the smartphone reports a problem related to its touchscreen,smartphone
this freezer appliance needs attention because of the water dispenser,refrigerator
the touchscreen of this phone is unreliable,smartphone
this tv needs attention because of the remote control,television
the door seal on the refrigerator stopped working during normal use,refrigerator
the charging port on the smartphone stopped working during normal use,smartphone
the laundry appliance has an issue with the drain pump,washing_machine
the ice maker on the cooling unit stopped working during normal use,refrigerator
the smartphone reports a problem related to its app storage,smartphone
the smart tv reports a problem related to its screen,television
the cooling unit has an issue with the interior light,refrigerator
this cooling unit needs attention because of the water dispenser,refrigerator
the wifi connection of this smart tv is unreliable,television
the hdmi input on the television stopped working during normal use,television
this washing machine needs attention because of the drain pump,washing_machine
this display needs attention because of the hdmi input,television
the cooling fan of this fridge is unreliable,refrigerator
the app storage of this smartphone is unreliable,smartphone
this television needs attention because of the wifi connection,television
the control panel on the washing machine stopped working during normal use,washing_machine
the washer has an issue with the door lock,washing_machine
the mobile signal on the mobile device stopped working during normal use,smartphone
this laundry appliance needs attention because of the control panel,washing_machine
the sound output on the display stopped working during normal use,television
the washer has an issue with the drain pump,washing_machine
the door seal of this cooling unit is unreliable,refrigerator
this freezer appliance needs attention because of the temperature control,refrigerator
the fridge has an issue with the cooling fan,refrigerator
the fridge reports a problem related to its freezer compartment,refrigerator
the freezer compartment on the fridge stopped working during normal use,refrigerator
this laundry machine needs attention because of the drain pump,washing_machine
the water dispenser on the refrigerator stopped working during normal use,refrigerator
the laundry machine reports a problem related to its water inlet,washing_machine
the washing machine has an issue with the door lock,washing_machine
the picture panel of this tv is unreliable,television
the channel tuner on the display stopped working during normal use,television
the cooling unit has an issue with the ice maker,refrigerator
this phone needs attention because of the touchscreen,smartphone
the drum on the washing machine stopped working during normal use,washing_machine
this smartphone needs attention because of the mobile signal,smartphone
the display reports a problem related to its picture panel,television
this display needs attention because of the wifi connection,television
the door lock of this washer is unreliable,washing_machine
this fridge needs attention because of the temperature control,refrigerator
the streaming menu on the smart tv stopped working during normal use,television
the mobile device reports a problem related to its battery,smartphone
the door seal of this refrigerator is unreliable,refrigerator
the smart tv has an issue with the hdmi input,television
the water dispenser on the freezer appliance stopped working during normal use,refrigerator
the laundry appliance reports a problem related to its door lock,washing_machine
this handset needs attention because of the speaker,smartphone
the phone has an issue with the mobile signal,smartphone
the washing machine reports a problem related to its control panel,washing_machine
the smartphone has an issue with the battery,smartphone
the laundry appliance has an issue with the door lock,washing_machine
this fridge needs attention because of the interior light,refrigerator
this refrigerator needs attention because of the freezer compartment,refrigerator
