ID,text,sentiment,topic,linguistic_level,flagprofanity,hasemoji,hasspellingerror,hasslang,length_class,mixed_sentiment,template_family,source,training_generation,input_timestamp
1,"Under a representative operating profile, after the initial setup, I noticed that the noise level on this washing machine is pretty ordinary. I got the same result more than once. kinda wild.",neutral,washing_machine,technical,0,0,0,1,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
2,"I have been using this television after a month of ownership, and the HDMI input is fine but forgettable. the same pattern showed up in a second test.",neutral,television,standard,0,0,0,0,medium,0,using,initial,0,2026-08-18T22:44:45Z
3,"during normal weekday use, i noticed that the temperature on this kitchen refrigerator has held up well. pretty solid ngl.",positive,refrigerator,limited,0,0,0,1,medium,0,noticed,initial,0,2026-08-18T22:44:45Z
4,"Under a representative operating profile, a separate point is the door lock, which has no major strengths or weaknesses. During normal weekday use, I noticed that the drain pump on this laundry appliance still feels solid. The damn thing surprised me in a good way. 👍",positive,washing_machine,technical,1,1,0,0,long,1,noticed,initial,0,2026-08-18T22:44:45Z
5,"I have been using this family fridge during a typical weekend, and the shelves keeps causing problems. the same pattern showed up in a second test. The pattern remained consistent enough to influence my overall assessment.",negative,refrigerator,advanced,0,0,0,0,long,0,using,initial,0,2026-08-18T22:44:45Z
6,"Across repeated observations, my main impression of this laundry appliance comes from the detergent drawer: it has held up well during a typical weekend.",positive,washing_machine,technical,0,0,0,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
7,"a seperate point is the shelves, which still feels solid. my main of this family fridge comes from the compressor: it not held up after a month of ownership. the same pattern showed up in a second test.",negative,refrigerator,limited,0,0,1,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
8,"imo, my main impression of this mobile phone comes from the microfone: it keeps doing what I need after comparing it with my previous unit. I noticed the pattern gradually rather than all at once. it has earned my confidence. A seperate point is the face unlock, which does the basic job. I expected some crap here, but it has actually held up.",positive,smartphone,standard,1,0,1,1,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
9,"Across repeated observations, lowkey, i did not pay much attention to the door seal at first, but during normal weekday use it has held up well. I noticed the pattern gradually rather than all at once. I would buy it again.",positive,refrigerator,technical,0,0,0,1,long,0,attention,initial,0,2026-08-18T22:44:45Z
10,"lowkey, after several routine cycles, I observed that the spin cycle on this washer has been reliable. the result matched what I saw earlier in the week. The pattern remained consistent enough to influence my overall assessment.",positive,washing_machine,advanced,0,0,0,1,long,0,noticed,initial,0,2026-08-18T22:44:45Z
11,"real talk, during a typical weekend, the freezer drawer works worse than i expected. the result matched what i saw earlier in the week.",negative,refrigerator,informal,0,0,0,1,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
12,"imo, my main impression of this fridge comes from the door alarm: it has held up well after comparing it with my rpevious unit. nothing else unusual was happening at the time. The pattern remained consistent enough to influence my overall assessment.",positive,refrigerator,advanced,0,0,1,1,long,0,main_impression,initial,0,2026-08-18T22:44:45Z
13,"during normal weekday use, the shelves is fine but forgettable. i can live with it. it is not amazing, but it is not bullshit either.",neutral,refrigerator,informal,1,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
14,"I did not pay much attention to the battery at first, but after comparing it with my previous unit it has no major strengths or weaknesses. I got the same result more than once. That said, the signal reception fails too often, so the experience is not completely one-sided.",neutral,smartphone,standard,0,0,0,0,long,1,attention,initial,0,2026-08-18T22:44:45Z
15,"After the initial setup, the door lock has become unreliable.",negative,washing_machine,standard,0,0,0,0,short,0,context_component,initial,0,2026-08-18T22:44:45Z
16,"Under a representative operating profile, tbh, the HDMI input is what stood out during normal weekday use; it keeps causing problems. the same pattern showed up in a second test. I would hesitate to buy it again.",negative,television,technical,0,0,0,1,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
17,the screen is what stood out after a month of ownership; it keeps causing problems. i noticed the pattern rather than all at once. this needs to improve.,negative,television,limited,0,0,0,0,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
18,"fr, after a week of everyday use, the camera does what the specification says. got the same result more than once.",neutral,smartphone,limited,0,0,0,1,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
19,my main impression of this smart tv comes from the screen: it has not held up after the initial setup.,negative,television,informal,0,0,0,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
20,"After a week of everyday use, the door lock has been easy to live with. the same pattern showed up in a second test. That repeated behavior matters more to me than the first impression.",positive,washing_machine,advanced,0,0,0,0,long,0,context_component,initial,0,2026-08-18T22:44:45Z
21,the wi-fi is what stood out while using it at home; it works worse than i expected. behavior was consistent from to day.,negative,television,limited,0,0,0,0,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
22,My main impression of this device comes from the charging port: it has no major strengths or weaknesses after a month of ownership. I do not feel strongly eithre way. idk.,neutral,smartphone,standard,0,0,1,1,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
23,"Under a representative operating profile, ngl, after several routine cycles, the charging port has been reliable.",positive,smartphone,technical,0,0,0,1,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
24,"After repeated use under comparable conditions, the remote control is what stood out after several routine cycles; it has been easy to live with. Damn, I did not expect this part to be this solid.",positive,television,technical,1,0,0,0,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
25,"I have been using this screen after a week of everyday use, and the menu system performs worse than I expected. I am already looking at alternatives. By contrast, the motion handling performs consistently. That repeated behavior matters more to me than the first impression.",negative,television,advanced,0,0,0,0,long,1,using,initial,0,2026-08-18T22:44:45Z
26,"Under a representative operating profile, ngl, the noise level is what stood out after comparing it with my previous unit; it feels average. it behaved similarly under a few different conditions. I would neither recommend it nor warn people away.",neutral,washing_machine,technical,0,0,0,1,long,0,stood_out,initial,0,2026-08-18T22:44:45Z
27,"While using it at home, I observed that the temperature control on this kitchen refrigerator has become unreliable. The damn thing keeps getting in the way. The difference became clearer once I compared several ordinary use cases.",negative,refrigerator,advanced,1,0,0,0,long,0,noticed,initial,0,2026-08-18T22:44:45Z
28,"During normal weekday use, the noise level has been frustrating to use. the result matched what I saw earlier in the week.",negative,washing_machine,standard,0,0,0,0,medium,0,context_component,initial,0,2026-08-18T22:44:45Z
29,my main impression of this smart tv comes from the screen: it has become unreliable during a typical weekend. this needs to improve. the damn thing keeps getting in the way.,negative,television,informal,1,0,0,0,medium,0,main_impression,initial,0,2026-08-18T22:44:45Z
30,the streaming is what stood out udring a typical weekend; it has no major strengths or weaknesses. there is not much else to there is no major crap to complain about here.,neutral,television,limited,1,0,1,0,medium,0,stood_out,initial,0,2026-08-18T22:44:45Z
31,"Under ordinary operating conditions, the interior light tells a different story because it has no major strengths or weaknesses. My main impression of this appliance comes from the compressor: it keeps causing problems after several routine cycles. I would hesitate to buy it again.",negative,refrigerator,technical,0,0,0,0,long,1,main_impression,initial,0,2026-08-18T22:44:45Z
