AP2;COUNTRY;COMMENT_TEXT;SENTIMENT
SEDA;BR     ;Celular maravilhoso                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;POSITIVO
SEDA;BR     ;otima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;POSITIVO
SEDA;BR     ;Bem pratico                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;POSITIVO
SEDA;BR     ;muito bom chegou no prazo combinado  ...e celular em perfeito estado ... agradeco \\r\\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;POSITIVO
SEDA;BR     ;Ótimo produto e resolução.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;POSITIVO
SEDA;BR     ;Top bonito\\r\\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;POSITIVO
SEDA;BR     ;Comprei para minha irmã ,ela gostou muitoo !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;POSITIVO
SEDA;BR     ;Entrega o que promete, câmera muito boa, bom custo benefício.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;POSITIVO
SEDA;BR     ;A experiência de compra foi excelente! O produto é de extrema qualidade e a entrega foi feita num prazo que eu nunca tinha visto antes. Comprei sexta-feira a noite e recebi o produto segunda-feira a tarde.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;POSITIVO
SEDA;BR     ;Conforme padrão Apple                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;POSITIVO
SEDA;BR     ;Estou satisfeito com o produto, me atende bem                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;POSITIVO
SEDA;BR     ;Ótima escolha, aparelho muito bom as fotos ficam perfeitas e o melhor da pra tirar foto no escuro o flash é muito bom.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;POSITIVO
SEDA;BR     ;Maravilhoso!!! Fiz o upgrade do iPhone 7 para o 11 e a diferença é enorme. A Apple nunca decepciona.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;POSITIVO
SEDA;BR     ;O produto é muito bom, recomendo pelo custo beneficio...Não recomendo a Casas Bahia, colocam a entrega para 03 dias uteis e entregam em 6-7 dias uteis...Propaganda enganosa, por que não colocam como as outras, 10 dias de uma vez entao voce nao fica esperando, não se programa.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;POSITIVO
SEDA;BR     ;O produto como já  conheço é um bom produto.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;POSITIVO
SEDA;BR     ;O produto é muito bom, gostei e recomendo!\\r\\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;POSITIVO
SEDA;BR     ;Estou amando!! tenho apenas 3 dias de uso. Está super atendendo às minhas necessidades !!\\r\\nCâmera maravilhosa, esse branco super lindo parece cintilante.. A Samsung superou nesse aparelho.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;POSITIVO
SEDA;BR     ;Muito bommmm. \\r\\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;POSITIVO
SEDA;BR     ;OTIMO CELULAR.\\r\\nPODERIA TER BATERIA REMOVIVEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;POSITIVO
SEDA;BR     ;Top demais, recomendo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;POSITIVO
