AP2;COUNTRY;COMMENT_TEXT;SENTIMENT
SEDA;BR;Gostei bastante não trava e demora descarregar, super indico.;NEGATIVO
SEDA;BR;Achei a entrega demorada, mas o iPhone realmente me surpreendeu. Tive muita dificuldade de migração de dados do android pra ele, mas de resto, até a bateria que tanto falam, eu carrego uma vez ao dia igual o meu telefone antigo (não jogo).;NEGATIVO
SEDA;BR;Só a entrega que foi bem demorada, não cumpriu o prazo . ;NEGATIVO
SEDA;BR;Prós: bateria demora a descarregar e imagem das fotos nítidas . Contra: ñ consegui passar os aplicativos para o cartão de memória. ;NEGATIVO
SEDA;BR;Horroroso atendimento na loja ponto frio shopping Bangú;NEGATIVO
SEDA;BR;Um pouco frágil, mas atendeu as minhas expectativas. ;NEGATIVO
SEDA;BR;Entrega o que promete.  Entrega demorada das casas Bahia. ;NEGATIVO
SEDA;BR;Câmera boa. Bateria boa, porém demora quase 4 horas pra carregar. Só carrego uma vez no dia. Tem que tomar muito cuidado e não mexer com ele no carregador por que a porcentagem da bateria abaixa;NEGATIVO
SEDA;BR;A DEMORA FOI UM PONTO NEGATIVO, DEVERIA SER MENOS TEMPO PARA A ENTREGA DO PRODUTO, INFFELIZMENTE NÃO ESTA COMIGO É PRESENTE!!!!!;NEGATIVO
SEDA;BR;Demora muito para recarregar a bateria mas pelo menos dura.;NEGATIVO
SEDA;BR;Meu aparelho chegou com problema na bateria. A troca na Casas Bahia demoraria muito tempo, então preferi devolver o produto.;NEGATIVO
SEDA;BR;Sempre tive celular Samsung,  gosto muito,.só achei um sensível demais, e lento, comparado ao que já tinha, j7 metal;NEGATIVO
SEDA;BR;Demora muito pra chegar ... não pode ter pressa ;NEGATIVO
SEDA;BR;Só demora Dmais  o atendimento pra entregar( Atendimento Físico);NEGATIVO
SEDA;BR;Após ter vindo com problema câmera frontal e ter demorado 10 dias para a troca, o celular está funcionando bem.;NEGATIVO
SEDA;BR;A demora da entrega.;NEGATIVO
SEDA;BR;Eu gostei muito do  celular  bateria  demora pra  descarregar  eu recomendo. ;NEGATIVO
SEDA;BR;Excenlente como todos da apple! Porém gostaria que fosse mais fino e leve, isso ainda estou estranhando!\r\nQto a entrega chegou dentro do prazo demora um pouco mais chega!;NEGATIVO
SEDA;BR;Demora demais pra entrega  lá deram um prazo de 8 dias chegou um mês depois\r\n;NEGATIVO
SEDA;BR;Super recomendo, demora 1 dia pra descarregar,isos eu jogando e estudando;NEGATIVO
SEDA;BR;Bateria horrível, descarrega rapidamente;NEGATIVO
SEDA;BR;Até o momento está agradando,comprei para meu esposo,mas ele está achando que demora muito para carregar.;NEGATIVO
SEDA;BR;Um pouco lento, mas tem tudo o que eu preciso no celular.... Faltou apenas uma camada de proteção gloss na tela;NEGATIVO
SEDA;BR;Achei apenas um pouco demorada a entrega ;NEGATIVO
SEDA;BR;Em relação ao produto, eu só fiz testes. Veio com trincado na tela, e o parceiro Webfones demora para resolver;NEGATIVO
SEDA;BR;Demora demais pra entregar mesmo a compra sendo pra retirada rápida;NEGATIVO
SEDA;BR;Chegou no dia certo, mas demora na confirmação. ;NEGATIVO
SEDA;BR;Sem comentarios a fazer, quem usa Iphone sabe a qualidade do produto. Apenas o frete que foi demorado ;NEGATIVO
SEDA;BR;Comprei pela usabilidade, e já pensando em vida útil. Tem 6gb de RAM, provavelmente vai demorar a começar os engasgos.;NEGATIVO
SEDA;BR;Presenteei minha esposa e ela está gostando bastante do aparelho, que até o momento não apresentou nenhum defeito. Espero que continue assim e que não tenha o leitor de digital frágil do A 21s.;NEGATIVO
SEDA;BR;Bateria durável, rápida navegação, mas carregamento muito lento;NEGATIVO
SEDA;BR;A demora em receber o 2° pedido.  Um chegou bem rápido, mas o outro tem um prazo maior de entrega. Só tenho isso contra.;NEGATIVO
SEDA;BR;Único fator que deixa a desejar é no momento de tirar foto que ele fica processando então tem uma demora mas os demais acessórios e programas do aparelho correspondem com o prometido.;NEGATIVO
SEDA;BR;Gostei desse produto, atende minhas necessidades e recomendo pra quem não gosta de celular grande, ele cabe na palma da mão, tem uma câmera boa, demora pra descarregar e carrega bem rápido.;NEGATIVO
SEDA;BR;Demorar na entrega ;NEGATIVO
SEDA;BR;Celular muito, bateria demora pra descarregar.\r\n;NEGATIVO
SEDA;BR;tinha um moto g9 power ! era mais lento mas a bateria durava mais que esse;NEGATIVO
SEDA;BR;A demora para fazer a liberação do  site  , sem dúvida é mais em conta no site .;NEGATIVO
SEDA;BR;Só achei ruim a demora pra entregar;NEGATIVO
SEDA;BR;Um pouco frágil poderia ter 6 pés;NEGATIVO
SEDA;BR;Demora na entrega ;NEGATIVO
SEDA;BR;Achei demorado para receber ;NEGATIVO
SEDA;BR;minha bateria não esta durando muito, e o carregador ta demorando muito para carregar;NEGATIVO
SEDA;BR;A bateria demora bastante pra descarregar.;NEGATIVO
