text,label
good product with excellent quality,positive
good purchase and excellent performance,positive
good device that works perfectly,positive
good experience with fast delivery,positive
good quality and reliable operation,positive
good design with excellent controls,positive
good battery with excellent duration,positive
good screen with excellent image quality,positive
good sound and excellent volume,positive
good service with excellent support,positive
excellent product and good value,positive
excellent purchase with good results,positive
excellent device with good performance,positive
excellent experience and good delivery,positive
excellent quality and good reliability,positive
excellent design and good controls,positive
excellent battery and good duration,positive
excellent screen and good colors,positive
excellent sound and good clarity,positive
excellent service and good support,positive
good product that exceeded expectations,positive
good purchase that i would recommend,positive
good device that feels durable,positive
good experience from start to finish,positive
good quality for a fair price,positive
excellent product that is easy to use,positive
excellent purchase that arrived early,positive
excellent device that runs smoothly,positive
excellent experience with no problems,positive
excellent quality in every feature,positive
standard product with ordinary features,neutral
standard purchase with ordinary delivery,neutral
standard device with ordinary controls,neutral
standard package with ordinary contents,neutral
standard model with ordinary specifications,neutral
standard screen with ordinary dimensions,neutral
standard cable with ordinary length,neutral
standard manual with ordinary instructions,neutral
standard box with ordinary packaging,neutral
standard order with ordinary processing,neutral
ordinary product with standard features,neutral
ordinary purchase with standard delivery,neutral
ordinary device with standard controls,neutral
ordinary package with standard contents,neutral
ordinary model with standard specifications,neutral
ordinary screen with standard dimensions,neutral
ordinary cable with standard connectors,neutral
ordinary manual with standard information,neutral
ordinary box with standard labels,neutral
ordinary order with standard confirmation,neutral
standard product available in black,neutral
standard purchase completed on monday,neutral
standard device with two ports,neutral
standard package delivered in the afternoon,neutral
standard model listed on the website,neutral
ordinary product stored in the living room,neutral
ordinary device using rechargeable batteries,neutral
ordinary package containing one cable,neutral
ordinary model with a basic warranty,neutral
ordinary order confirmed by email,neutral
bad product with terrible quality,negative
bad purchase with terrible performance,negative
bad device that fails constantly,negative
bad experience with delayed delivery,negative
bad quality and unreliable operation,negative
bad design with terrible controls,negative
bad battery with terrible duration,negative
bad screen with terrible image quality,negative
bad sound with terrible distortion,negative
bad service with terrible support,negative
terrible product and bad value,negative
terrible purchase with bad results,negative
terrible device with bad performance,negative
terrible experience and bad delivery,negative
terrible quality and bad reliability,negative
terrible design and bad controls,negative
terrible battery and bad duration,negative
terrible screen and bad colors,negative
terrible sound and bad clarity,negative
terrible service and bad support,negative
bad product that failed expectations,negative
bad purchase that i regret completely,negative
bad device that feels fragile,negative
bad experience from start to finish,negative
bad quality for an excessive price,negative
terrible product that is hard to use,negative
terrible purchase that arrived damaged,negative
terrible device that freezes constantly,negative
terrible experience with many problems,negative
terrible quality in every feature,negative
