ID,text,label,type,input_timestamp
1,"during the initial setup, the battery on this smartphone is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
2,"during the initial setup, the battery on this smartphone matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
3,"during the initial setup, the battery on this smartphone is unreliable and fails during use; the experience has remained consistent.",negative,train,2026-08-13T15:30:24Z
4,"during the initial setup, the screen on this television is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
5,"during the initial setup, the screen on this television matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
6,"during the initial setup, the screen on this television is unreliable and fails during use; the experience has remained consistent.",negative,train,2026-08-13T15:30:24Z
7,"during the initial setup, the temperature control on this refrigerator is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
8,"during the initial setup, the temperature control on this refrigerator matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
9,"during the initial setup, the temperature control on this refrigerator is unreliable and fails during use; the experience has remained consistent.",negative,train,2026-08-13T15:30:24Z
10,"during the initial setup, the spin cycle on this washing machine is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
11,"during the initial setup, the spin cycle on this washing machine matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
12,"during the initial setup, the spin cycle on this washing machine is unreliable and fails during use; the experience has remained consistent.",negative,train,2026-08-13T15:30:24Z
13,"during the initial setup, the battery on this phone is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
14,"during the initial setup, the battery on this phone matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
15,"during the initial setup, the battery on this phone is unreliable and fails during use; the experience has remained consistent.",negative,train,2026-08-13T15:30:24Z
16,"during the initial setup, the screen on this tv is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
17,"during the initial setup, the screen on this tv matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
18,"during the initial setup, the screen on this tv is unreliable and fails during use; the experience has remained consistent.",negative,train,2026-08-13T15:30:24Z
19,"during the initial setup, the temperature control on this fridge is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
20,"during the initial setup, the temperature control on this fridge matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
21,"during the initial setup, the temperature control on this fridge is unreliable and fails during use; the experience has remained consistent.",negative,train,2026-08-13T15:30:24Z
22,"during the initial setup, the spin cycle on this washer is excellent and works perfectly; the experience has remained consistent.",positive,train,2026-08-13T15:30:24Z
23,"during the initial setup, the spin cycle on this washer matches the standard specification; the experience has remained consistent.",neutral,train,2026-08-13T15:30:24Z
