;AP2;COUNTRY;COMMENT_TEXT;SENTIMENT
0;SEM;MX;Un poco lento La calidad de la cámara muy buena Pará el precio creo que es una buena opción;NEGATIVO
1;SEM;MX;El audio es totalmente horrible, tiene los bajos muy muy fuertes y cuando se sube el volumen total se escuchan horrible en cualquier audífonos o sistema de audio, últimamente se traba muchísimo y la batería no dura nada.;NEGATIVO
2;SEM;MX;Lo acabo de comprar pero he notado algo con el cargador. No aparece turbopower y demora mucho en cargar. No sé si sea la batería porque se calienta mucho.;NEGATIVO
3;SEM;MX;Manchas horribles en la pantalla, lo demás excelente, en procesador y fluidez buenísimos, pero para el precio no es satisfactorio;NEGATIVO
4;SEM;MX;La bocina no le sirve. Cuando hablo con alguien, ellos solo escuchan estática. Está terrible!!! También la batería no sirve. Se descarga al poco tiempo. Inclusive en “Settings” marca como la batería está deficiente. Estoy muy disatisfecha con esta compra, y espero me lo puedan cambiar.;NEGATIVO
5;SEM;MX;VIno rayada la pantalla, los costados, la parte de atras. Es una decepcion enorme. 5400 pesos tirados a la basura por un celular roto.;NEGATIVO
6;SEM;MX;No se puede esperar mucho de un celular gama baja, a resaltar la batería que puede durar hasta 2 días con un uso moderado y es carga rápida mediante usb tipo C. El desbloqueo facial sirve aun con mascarilla puesta. El desbloqueo con huella muchas veces no funciona a la primera, tienes que colocar como regístrate la huella. La pantalla es grande pero no tiene buen ángulo de visión, la ves de lado y se ve blanco/brilloso. El case con el que viene le queda justo, cuesta quitárselo/ponérselo. En cuanto a funcionamiento, a pesar de tener snapdragon y 4gb de ram es lento y se llega a trabar, la cámara sufre mucho a la hora de abrir la app. Tampoco se le puede exigir una gran calidad de fotografía. El sonido es adecuado.;NEGATIVO
7;SEM;MX;EL sensor de huella es muy lento, a veces no me reconoce o tarda mucho para hacerlo, ya he reconfigurado la misma en multiples ocasiones desde android y otros modelos de celular funcionan sin problema. Otro detalle es que no tiene led de notificación por lo que nunca se si tengo algún mensaje, tengo que prender la pantalla.;NEGATIVO
8;SEM;MX;Falló a los dos meses, se alentaba, se apagaba y al final ya no prendió y nunca pude hacer válida la garantía, ya que Xiaomi México me mandaba con el que me lo vendió y Amazon me mandaba con Xiaomi dinero tirado a la basura.;NEGATIVO
9;SEM;MX;Me parece calidad bueno. Y la pila demora un buen.;NEGATIVO
10;SEM;MX;Es muy lento en procesamiento;NEGATIVO
11;SECH;CL;El teléfono en sí es de bna calidad, la cámara excelente, pero pésima la appstore q trae no deja instalar las app q necesito sólo las sugeridas, tuve q mirar en youtube para descargar una app y así descargar facebook, mercado libre, el bco etc, horrible deberían avisar q ya no tienen playstore.;NEGATIVO
12;SAMCOL;CO;Mucha demora para cargar. No se le consiguen los protectores. Funciones que no sirven. La verdad muy regular. Hace 15 días Denunciar;NEGATIVO
13;SELA;DO;Una mierda, me robaste mi dinero, pero tranquilo. Hace 7 meses Denunciar;NEGATIVO
14;SELA;VE;Excelente calidad, he descargado varias aplicaciones y no se me ha guindado ni se pone lento. Más de 1 año Denunciar;NEGATIVO
15;SELA;VE;A mí me parece que carga lento las descargas, puede ser que tengo mucha copia de seguridad. Veré después que todo se cargue a ver si vuela como dice todo el mundo. Más de 1 año Denunciar;NEGATIVO
16;SELA;VE;Es un producto de la linea economica de zte, ademas lo veo demasiado fragil, una caida y ¡pum! listo. Lo malo es que no es 4g, asi que a sufrir. . No lo recomiendo. Hace 11 meses Denunciar;NEGATIVO
17;SELA;VE;Excelente equpo hastala fecha cumple sus objetivos y funciones para lo cual fue adquirido, navega expectacular en 4g con movistar, con movilnet es algo lento y bueno con digitel en e +-. Más de 2 años Denunciar;NEGATIVO
18;SELA;DO;Una mierda, me robaste mi dinero, pero tranquilo. Hace 6 meses Denunciar;NEGATIVO
19;SELA;VE;Es un teléfono de recursos muy limitados, se calienta mucho y es muy lento al utilizarlo. Hace 4 meses Denunciar;NEGATIVO
20;SELA;VE;Es un teléfono de recursos muy limitados, se calienta mucho y es muy lento al utilizarlo. Hace 5 meses Denunciar;NEGATIVO
21;SEM;MX;La entrega por parte de LIVERPOOL en tiempo y forma. Se llevaron toda la basura del embalaje. El refrigerador muy amplio y cómodo. Silencioso y, según entiendo, consume mucho menos electricidad. Creo que fue una muy buena compra.;NEGATIVO
22;SEM;MX;Al año empezó con fugas, ya van dos compresores que le cambio, estoy considerando tirarlo a la basura y comprar otro. Es en serio. pésimo;NEGATIVO
23;SEM;MX;NO COMPREN ESTA MARCA DE REFRIGERADORES SE DAÑAN MUY RAPIDO Y LA GARANTIA DEL FABRICANTE NO CUMPLE, EVITEN TIRAR SU DINERO A LA BASURA COMO YO LO HICE;NEGATIVO
24;SEM;MX;Horrible mecanismo, enreda las fibras de los vegetales y deja de exprimir, se atora y hay que abrirlo a cada rato y se atoran las fibras, no permiten abrirlo con facilidad;NEGATIVO
25;SEM;MX;La pila es duradera. Se puede introducir memoria externa. Los colores son bonitos. Lo único que no he podido encontrar protección, viene con una muy muy frágil, difícilmente protegerá de una caí Leer más;NEGATIVO
26;SEM;MX;Es bueno el equipo el único problema que es algo lento con las tranciines entre cámara y álbum de fotos así como en el cambio de apliccion a aplicación;NEGATIVO
27;SECH;CL;Buen equipo, pero no sabía que venía con cargador lento, sin conexión para audífonos tradicionales, ni audífonos compatibles o adaptador. El equipo se calienta fácilmente, no en exceso como para no comprarlo pero frecuentemente.;NEGATIVO
28;SECH;CL;Horrible no le responden no recibí mi producto les hablo a la compañía que me hagan mi devolución y se hacen los tontos no responden.;NEGATIVO
29;SECH;CL;Buen porte. Buena capacidad. Rapido sin demoras. Lo considero excelente.;NEGATIVO
30;SECH;CL;Como todo iphone tiene sus bondades y falencias. Este modelo es algo más lento que otras versiones, como un iphone 8 por ejemplo. Por ese lado algo decepcionado con la performance.;NEGATIVO
31;SECH;CL;Entero pulento zyyyyyy. Le pone caleta el shiaomy, la pulenta o'e.;NEGATIVO
32;SECH;CL;Sinceramente debo decir que es mala, puesto que sufre de fluidez en varias cosas, apps que se quedan pegadas y no dejan cerrarlas ( burbujas messenger) o que simplemente el touch de la pantalla puede estar defectuoso, sumado a esto siento que presenta una demora excesiva al encender.;NEGATIVO
